English term,Portuguese term,Reason
lightweight,leve,"Natural product wording; avoids literal 'peso leve' for software."
small teams,equipes pequenas,"Clear and direct Brazilian Portuguese."
meeting notes,anotações de reuniões,"Common workplace phrasing."
action items,itens de ação,"Widely used in business/productivity contexts."
owners,responsáveis,"Natural in task management UI."
follow-up messages,mensagens de acompanhamento,"Avoids overly literal 'mensagens de follow-up' while preserving meaning."
Settings,Configurações,"Standard software UI term."
workspace,espaço de trabalho,"Common SaaS UI localization."
transcript,transcrição,"Accurate for meeting transcript."
review before sending,revisar antes de enviar,"Clear imperative UI wording."
